Date,Durée moyenne,Heure de coucher moyenne,Heure de lever moyenne
Fév. 2-8,7h 41m,11:48 PM,7:34 AM
Jan. 26 - Fév. 1,7h 11m.,11:43 PM,6:57 AM
Jan. 19-25,7h 6min.,12:05 AM,7:14 AM
Jan. 12-18,7h 38min.,12:03 AM,7:47 AM
Jan. 5-11,7h 18min.,12:22 AM,7:42 AM
Déc. 29, 2025 - Jan. 4, 2026,7h 24min.,2:44 AM,10:10 AM
Déc. 22-28, 2025,8h 12min.,1:54 AM,10:07 AM
Déc. 15-21, 2025,7h 8min.,12:31 AM,7:43 AM
Déc. 8-14, 2025,7h 10min.,12:07 AM,7:19 AM
Déc. 1-7, 2025,7h 5min.,11:52 PM,7:03 AM
Nov. 24-30, 2025,7h 29min.,11:55 PM,7:38 AM
Nov. 17-23, 2025,7h 15min.,11:43 PM,7:06 AM
Nov. 10-16, 2025,7h 45min.,12:24 AM,8:11 AM
Nov. 3-9, 2025,7h 13min.,11:49 PM,7:05 AM
Oct 27 - Nov. 2, 2025,7h 41min.,12:29 AM,8:16 AM
Oct 20-26, 2025,7h 55min.,12:22 AM,8:23 AM
Oct 13-19, 2025,7h 18min.,12:20 AM,7:41 AM
Oct 6-12, 2025,7h 44min.,11:44 PM,7:33 AM
Sept. 29 - Oct 5, 2025,7h 42min.,11:38 PM,7:26 AM
Sept. 22-28, 2025,7h 27min.,12:04 AM,7:43 AM
Sept. 15-21, 2025,7h 50min.,11:33 PM,7:33 AM
Sept. 8-14, 2025,7h 24min.,12:11 AM,7:39 AM
Sept. 1-7, 2025,7h 56min.,11:40 PM,7:40 AM
Août 25-31, 2025,8h 4min.,12:09 AM,8:18 AM
Août 18-24, 2025,8h 27min.,12:07 AM,8:40 AM
Août 11-17, 2025,7h 22min.,12:35 AM,7:59 AM
Août 4-10, 2025,7h 40min.,12:25 AM,8:07 AM
Juil. 28 - Août 3, 2025,7h 37min.,12:22 AM,8:01 AM
Juil. 21-27, 2025,7h 42min.,12:46 AM,8:29 AM
Juil. 14-20, 2025,8h 27min.,12:07 AM,8:38 AM
Juil. 7-13, 2025,6h 32min.,1:05 AM,7:40 AM
Juin 30 - Juil. 6, 2025,8h 5min.,1:30 AM,9:41 AM
Juin 23-29, 2025,6h 53min.,1:25 AM,8:19 AM
Juin 16-22, 2025,7h 45min.,12:22 AM,8:15 AM
Juin 9-15, 2025,6h 58min.,12:16 AM,7:16 AM
Juin 2-8, 2025,6h 29min.,12:13 AM,6:51 AM
Mai 26 - Juin 1, 2025,8h 20min.,11:21 PM,7:51 AM
Mai 19-25, 2025,7h 37min.,11:39 PM,7:22 AM
Mai 12-18, 2025,7h 29min.,11:58 PM,7:31 AM
Mai 5-11, 2025,7h 36min.,11:17 PM,6:58 AM
Avr. 28 - Mai 4, 2025,8h 3min.,12:05 AM,8:14 AM
Avr. 21-27, 2025,7h 24min.,12:15 AM,7:45 AM
Avr. 14-20, 2025,7h 15min.,11:51 PM,7:10 AM
Avr. 7-13, 2025,7h 50min.,11:20 PM,7:12 AM
Mar. 31 - Avr. 6, 2025,8h 3min.,12:00 AM,8:09 AM
Mar. 24-30, 2025,7h 24min.,12:05 AM,7:33 AM
Mar. 17-23, 2025,7h 14min.,11:48 PM,7:04 AM
Mar. 10-16, 2025,7h 40min.,11:59 PM,7:46 AM
Mar. 3-9, 2025,7h 25min.,11:47 PM,7:20 AM
Fév. 24 - Mar. 2, 2025,8h 34min.,11:22 PM,8:02 AM
Fév. 17-23, 2025,8h 53min.,11:46 PM,8:50 AM
Fév. 10-16, 2025,7h 33min.,12:17 AM,7:58 AM
Fév. 3-9, 2025,7h 40min.,11:34 PM,7:20 AM
Jan. 27 - Fév. 2, 2025,6h 52min.,12:17 AM,7:14 AM
