date,weight_kg
2026-02-14,76.2
2026-02-12,75.4
2026-02-11,76.1
2026-02-10,76.1
2026-02-09,77.0
2026-02-07,75.0
2026-02-06,75.4
2026-02-05,76.0
2026-02-03,75.3
2026-02-01,75.9
2026-01-31,75.6
2026-01-30,75.1
2026-01-29,75.4
2026-01-27,76.1
2026-01-23,75.5
2026-01-22,76.0
2026-01-17,76.1
2026-01-13,76.6
2026-01-11,77.9
2026-01-10,77.4
2026-01-07,76.7
2026-01-05,78.2
2025-11-29,76.5
2025-11-27,76.4
2025-11-25,77.2
2025-11-24,78.0
2025-11-22,77.0
2025-11-18,76.9
2025-11-15,77.1
2025-11-10,77.3
2025-11-09,77.7
2025-11-08,77.0
2025-11-07,76.9
2025-11-06,77.3
2025-11-05,78.1
2025-11-03,79.1
2025-11-01,78.0
2025-10-28,79.3
2025-10-25,78.2
2025-10-20,77.8
2025-10-18,78.0
2025-10-13,78.5
2025-10-11,78.6
2025-10-06,78.5
2025-10-03,78.7
2025-09-30,79.6
2025-09-27,78.8
2025-09-26,79.1
2025-09-22,80.0
2025-09-19,79.3
2025-09-17,79.2
2025-09-13,79.3
2025-09-08,81.2
2025-09-01,82.0
